Year,Economy,Economy Label,CargoType,CargoType Label,Metric tons in millions,Metric tons in millions Footnote,Metric tons in millions Missing value
1990,0000,World,12,Other tanker trade loaded,468,,
1990,0000,World,13,Dry cargo loaded,2253,,
1990,0000,World,10,Total goods loaded,4008,,
1990,0000,World,21,Crude oil discharged,1315,,
1990,0000,World,22,Other tanker trade discharged,466,,
1990,0000,World,23,Dry cargo discharged,2365,,
1990,0000,World,20,Total goods discharged,4126,,
1991,0000,World,11,Crude oil loaded,1333,,
1991,0000,World,12,Other tanker trade loaded,457,,
1991,0000,World,13,Dry cargo loaded,2330,,
1991,0000,World,10,Total goods loaded,4120,,
1991,0000,World,21,Crude oil discharged,1355,,
1991,0000,World,22,Other tanker trade discharged,441,,
1991,0000,World,23,Dry cargo discharged,2449,,
1991,0000,World,20,Total goods discharged,4245,,
1992,0000,World,11,Crude oil loaded,1394,,
1992,0000,World,12,Other tanker trade loaded,466,,
1992,0000,World,13,Dry cargo loaded,2360,,
1992,0000,World,10,Total goods loaded,4220,,
1992,0000,World,21,Crude oil discharged,1414,,
1992,0000,World,22,Other tanker trade discharged,451,,
1992,0000,World,23,Dry cargo discharged,2480,,
1992,0000,World,20,Total goods discharged,4345,,
1993,0000,World,11,Crude oil loaded,1443,,
1993,0000,World,12,Other tanker trade loaded,502,,
1993,0000,World,13,Dry cargo loaded,2385,,
1993,0000,World,10,Total goods loaded,4330,,
1993,0000,World,21,Crude oil discharged,1465,,
1993,0000,World,22,Other tanker trade discharged,480,,
1993,0000,World,23,Dry cargo discharged,2477,,
1993,0000,World,20,Total goods discharged,4422,,
1994,0000,World,11,Crude oil loaded,1498,,
1994,0000,World,12,Other tanker trade loaded,509,,
1994,0000,World,13,Dry cargo loaded,2478,,
1994,0000,World,10,Total goods loaded,4485,,
1994,0000,World,21,Crude oil discharged,1508,,
1994,0000,World,22,Other tanker trade discharged,490,,
1994,0000,World,23,Dry cargo discharged,2575,,
1994,0000,World,20,Total goods discharged,4573,,
1995,0000,World,11,Crude oil loaded,1532,,
1995,0000,World,12,Other tanker trade loaded,518,,
1995,0000,World,13,Dry cargo loaded,2601,,
1995,0000,World,10,Total goods loaded,4651,,
1995,0000,World,21,Crude oil discharged,1550,,
1995,0000,World,22,Other tanker trade discharged,508,,
1995,0000,World,23,Dry cargo discharged,2685,,
1995,0000,World,20,Total goods discharged,4743,,
1996,0000,World,11,Crude oil loaded,1590,,
1996,0000,World,12,Other tanker trade loaded,537,,
1996,0000,World,13,Dry cargo loaded,2631,,
1996,0000,World,10,Total goods loaded,4758,,
1996,0000,World,21,Crude oil discharged,1599,,
1996,0000,World,22,Other tanker trade discharged,480,,
1996,0000,World,23,Dry cargo discharged,2734,,
1996,0000,World,20,Total goods discharged,4815,,
1997,0000,World,11,Crude oil loaded,1626,,
1997,0000,World,12,Other tanker trade loaded,546,,
1997,0000,World,13,Dry cargo loaded,2781,,
1997,0000,World,10,Total goods loaded,4953,,
1997,0000,World,21,Crude oil discharged,1625,,
1997,0000,World,22,Other tanker trade discharged,522,,
1997,0000,World,23,Dry cargo discharged,2890,,
1997,0000,World,20,Total goods discharged,5037,,
1998,0000,World,11,Crude oil loaded,1548,,
1998,0000,World,12,Other tanker trade loaded,534,,
1998,0000,World,13,Dry cargo loaded,3549,,
1998,0000,World,10,Total goods loaded,5631,,
1998,0000,World,21,Crude oil discharged,1515,,
1998,0000,World,22,Other tanker trade discharged,548,,
1998,0000,World,23,Dry cargo discharged,3855,,
1998,0000,World,20,Total goods discharged,5918,,
1999,0000,World,11,Crude oil loaded,1553,,
1999,0000,World,12,Other tanker trade loaded,532,,
1999,0000,World,13,Dry cargo loaded,3598,,
1999,0000,World,10,Total goods loaded,5683,,
1999,0000,World,21,Crude oil discharged,1543,,
1999,0000,World,22,Other tanker trade discharged,510,,
1999,0000,World,23,Dry cargo discharged,3955,,
1999,0000,World,20,Total goods discharged,6007,,
2000,0000,World,11,Crude oil loaded,1605,,
2000,0000,World,12,Other tanker trade loaded,558,,
2000,0000,World,13,Dry cargo loaded,3821,,
2000,0000,World,10,Total goods loaded,5984,,
2000,0000,World,21,Crude oil discharged,1633,,
2000,0000,World,22,Other tanker trade discharged,513,,
2000,0000,World,23,Dry cargo discharged,4097,,
2000,0000,World,20,Total goods discharged,6242,,
2001,0000,World,11,Crude oil loaded,1678,,
2001,0000,World,12,Other tanker trade loaded,499,,
2001,0000,World,13,Dry cargo loaded,3844,,
2001,0000,World,10,Total goods loaded,6020,,
2001,0000,World,21,Crude oil discharged,1712,,
2001,0000,World,22,Other tanker trade discharged,534,,
2001,0000,World,23,Dry cargo discharged,3954,,
2001,0000,World,20,Total goods discharged,6201,,
2002,0000,World,11,Crude oil loaded,1637,,
2002,0000,World,12,Other tanker trade loaded,509,,
2002,0000,World,13,Dry cargo loaded,3981,,
2002,0000,World,10,Total goods loaded,6127,,
2002,0000,World,21,Crude oil discharged,1696,,
2002,0000,World,22,Other tanker trade discharged,540,,
2002,0000,World,23,Dry cargo discharged,4099,,
2002,0000,World,20,Total goods discharged,6335,,
2003,0000,World,11,Crude oil loaded,1690,,
2003,0000,World,12,Other tanker trade loaded,533,,
2003,0000,World,13,Dry cargo loaded,4257,,
2003,0000,World,10,Total goods loaded,6480,,
2003,0000,World,21,Crude oil discharged,1743,,
2003,0000,World,22,Other tanker trade discharged,536,,
2003,0000,World,23,Dry cargo discharged,4324,,
2003,0000,World,20,Total goods discharged,6603,,
2004,0000,World,11,Crude oil loaded,1770,,
2004,0000,World,12,Other tanker trade loaded,546,,
2004,0000,World,13,Dry cargo loaded,4442,,
2004,0000,World,10,Total goods loaded,6758,,
2004,0000,World,21,Crude oil discharged,1773,,
2004,0000,World,22,Other tanker trade discharged,545,,
2004,0000,World,23,Dry cargo discharged,4469,,
2004,0000,World,20,Total goods discharged,6787,,
2005,0000,World,11,Crude oil loaded,1857,,
2005,0000,World,12,Other tanker trade loaded,565,,
2005,0000,World,13,Dry cargo loaded,4687,,
2005,0000,World,10,Total goods loaded,7109,,
2005,0000,World,21,Crude oil discharged,1854,,
2005,0000,World,22,Other tanker trade discharged,573,,
2005,0000,World,23,Dry cargo discharged,4696,,
2005,0000,World,20,Total goods discharged,7122,,
2006,0000,World,11,Crude oil loaded,1783.415,,
2006,0000,World,12,Other tanker trade loaded,914.91,,
2006,0000,World,13,Dry cargo loaded,5003.782,,
2006,0000,World,10,Total goods loaded,7702.107,,
2006,0000,World,21,Crude oil discharged,1939.89,,
2006,0000,World,22,Other tanker trade discharged,897.175,,
2006,0000,World,23,Dry cargo discharged,5065.62,,
2006,0000,World,20,Total goods discharged,7902.684,,
2006,5100,Africa,11,Crude oil loaded,353.756,,
2006,5100,Africa,12,Other tanker trade loaded,86.032,,
2006,5100,Africa,13,Dry cargo loaded,282.116,,
2006,5100,Africa,10,Total goods loaded,721.903,,
2006,5100,Africa,21,Crude oil discharged,41.269,,
2006,5100,Africa,22,Other tanker trade discharged,39.002,,
2006,5100,Africa,23,Dry cargo discharged,268.743,,
2006,5100,Africa,20,Total goods discharged,349.014,,
2006,5110,Northern Africa,11,Crude oil loaded,129.236,,
2006,5110,Northern Africa,12,Other tanker trade loaded,64.482,,
2006,5110,Northern Africa,13,Dry cargo loaded,85.226,,
2006,5110,Northern Africa,10,Total goods loaded,278.944,,
2006,5110,Northern Africa,21,Crude oil discharged,5.973,,
2006,5110,Northern Africa,22,Other tanker trade discharged,13.827,,
2006,5110,Northern Africa,23,Dry cargo discharged,143.228,,
2006,5110,Northern Africa,20,Total goods discharged,163.028,,
2006,5120,Sub-Saharan Africa,11,Crude oil loaded,224.52,,
2006,5120,Sub-Saharan Africa,12,Other tanker trade loaded,21.55,,
2006,5120,Sub-Saharan Africa,13,Dry cargo loaded,196.89,,
2006,5120,Sub-Saharan Africa,10,Total goods loaded,442.96,,
2006,5120,Sub-Saharan Africa,21,Crude oil discharged,35.296,,
2006,5120,Sub-Saharan Africa,22,Other tanker trade discharged,25.174,,
2006,5120,Sub-Saharan Africa,23,Dry cargo discharged,125.515,,
2006,5120,Sub-Saharan Africa,20,Total goods discharged,185.985,,
2006,5121,Eastern Africa,11,Crude oil loaded,0,,
2006,5121,Eastern Africa,12,Other tanker trade loaded,0.464,,
2006,5121,Eastern Africa,13,Dry cargo loaded,21.049,,
2006,5121,Eastern Africa,10,Total goods loaded,21.513,,
2006,5121,Eastern Africa,21,Crude oil discharged,2.123,,
2006,5121,Eastern Africa,22,Other tanker trade discharged,7.138,,
2006,5121,Eastern Africa,23,Dry cargo discharged,16.813,,
2006,5121,Eastern Africa,20,Total goods discharged,26.074,,
2006,5122,Middle Africa,11,Crude oil loaded,113.953,,
2006,5122,Middle Africa,12,Other tanker trade loaded,2.564,,
2006,5122,Middle Africa,13,Dry cargo loaded,6.259,,
2006,5122,Middle Africa,10,Total goods loaded,122.776,,
2006,5122,Middle Africa,21,Crude oil discharged,2.139,,
2006,5122,Middle Africa,22,Other tanker trade discharged,1.684,,
2006,5122,Middle Africa,23,Dry cargo discharged,7.327,,
2006,5122,Middle Africa,20,Total goods discharged,11.151,,
2006,5123,Southern Africa,11,Crude oil loaded,0.005,,
2006,5123,Southern Africa,12,Other tanker trade loaded,5.92,,
2006,5123,Southern Africa,13,Dry cargo loaded,129.863,,
2006,5123,Southern Africa,10,Total goods loaded,135.788,,
2006,5123,Southern Africa,21,Crude oil discharged,25.625,,
2006,5123,Southern Africa,22,Other tanker trade discharged,2.601,,
2006,5123,Southern Africa,23,Dry cargo discharged,39.141,,
2006,5123,Southern Africa,20,Total goods discharged,67.367,,
2006,5124,Western Africa,11,Crude oil loaded,110.562,,
2006,5124,Western Africa,12,Other tanker trade loaded,12.602,,
2006,5124,Western Africa,13,Dry cargo loaded,39.719,,
2006,5124,Western Africa,10,Total goods loaded,162.883,,
2006,5124,Western Africa,21,Crude oil discharged,5.409,,
2006,5124,Western Africa,22,Other tanker trade discharged,13.752,,
2006,5124,Western Africa,23,Dry cargo discharged,62.233,,
2006,5124,Western Africa,20,Total goods discharged,81.394,,
2006,5200,Americas,11,Crude oil loaded,273.472,,
2006,5200,Americas,12,Other tanker trade loaded,180.248,,
2006,5200,Americas,13,Dry cargo loaded,1122.367,,
2006,5200,Americas,10,Total goods loaded,1576.087,,
2006,5200,Americas,21,Crude oil discharged,564.71,,
2006,5200,Americas,22,Other tanker trade discharged,217.385,,
2006,5200,Americas,23,Dry cargo discharged,755.792,,
2006,5200,Americas,20,Total goods discharged,1537.887,,
2006,5210,Northern America,11,Crude oil loaded,22.155,,
2006,5210,Northern America,12,Other tanker trade loaded,86.369,,
2006,5210,Northern America,13,Dry cargo loaded,436.845,,
2006,5210,Northern America,10,Total goods loaded,545.369,,
2006,5210,Northern America,21,Crude oil discharged,500.962,,
2006,5210,Northern America,22,Other tanker trade discharged,155.67,,
2006,5210,Northern America,23,Dry cargo discharged,492.116,,
2006,5210,Northern America,20,Total goods discharged,1148.748,,
2006,5220,Latin America and the Caribbean,11,Crude oil loaded,251.317,,
2006,5220,Latin America and the Caribbean,12,Other tanker trade loaded,93.879,,
2006,5220,Latin America and the Caribbean,13,Dry cargo loaded,685.521,,
2006,5220,Latin America and the Caribbean,10,Total goods loaded,1030.718,,
2006,5220,Latin America and the Caribbean,21,Crude oil discharged,63.748,,
2006,5220,Latin America and the Caribbean,22,Other tanker trade discharged,61.715,,
2006,5220,Latin America and the Caribbean,23,Dry cargo discharged,263.676,,
2006,5220,Latin America and the Caribbean,20,Total goods discharged,389.139,,
2006,5221,Caribbean,11,Crude oil loaded,4.186,,
2006,5221,Caribbean,12,Other tanker trade loaded,29.691,,
2006,5221,Caribbean,13,Dry cargo loaded,19.245,,
2006,5221,Caribbean,10,Total goods loaded,53.123,,
2006,5221,Caribbean,21,Crude oil discharged,30.273,,
2006,5221,Caribbean,22,Other tanker trade discharged,18.349,,
2006,5221,Caribbean,23,Dry cargo discharged,20.737,,
2006,5221,Caribbean,20,Total goods discharged,69.359,,
2006,5222,Central America,11,Crude oil loaded,104.257,,
2006,5222,Central America,12,Other tanker trade loaded,4.91,,
2006,5222,Central America,13,Dry cargo loaded,54.309,,
2006,5222,Central America,10,Total goods loaded,163.477,,
2006,5222,Central America,21,Crude oil discharged,2.399,,
2006,5222,Central America,22,Other tanker trade discharged,25.348,,
2006,5222,Central America,23,Dry cargo discharged,80.777,,
2006,5222,Central America,20,Total goods discharged,108.524,,
2006,5223,South America,11,Crude oil loaded,142.873,,
2006,5223,South America,12,Other tanker trade loaded,59.278,,
2006,5223,South America,13,Dry cargo loaded,611.967,,
2006,5223,South America,10,Total goods loaded,814.118,,
2006,5223,South America,21,Crude oil discharged,31.076,,
2006,5223,South America,22,Other tanker trade discharged,18.018,,
2006,5223,South America,23,Dry cargo discharged,162.162,,
2006,5223,South America,20,Total goods discharged,211.256,,
2006,5300,Asia,11,Crude oil loaded,925.243,,
2006,5300,Asia,12,Other tanker trade loaded,368.988,,
2006,5300,Asia,13,Dry cargo loaded,1960.066,,
2006,5300,Asia,10,Total goods loaded,3254.297,,
2006,5300,Asia,21,Crude oil discharged,765.984,,
2006,5300,Asia,22,Other tanker trade discharged,337.897,,
2006,5300,Asia,23,Dry cargo discharged,2677.813,,
2006,5300,Asia,20,Total goods discharged,3781.694,,
2006,5310,Central Asia,11,Crude oil loaded,0,,
2006,5310,Central Asia,12,Other tanker trade loaded,0,,
2006,5310,Central Asia,13,Dry cargo loaded,0,,
2006,5310,Central Asia,10,Total goods loaded,0,,
2006,5310,Central Asia,21,Crude oil discharged,0,,
2006,5310,Central Asia,22,Other tanker trade discharged,0,,
2006,5310,Central Asia,23,Dry cargo discharged,0,,
2006,5310,Central Asia,20,Total goods discharged,0,,
2006,5330,Eastern Asia,11,Crude oil loaded,8.067,,
2006,5330,Eastern Asia,12,Other tanker trade loaded,66.33,,
2006,5330,Eastern Asia,13,Dry cargo loaded,868.395,,
2006,5330,Eastern Asia,10,Total goods loaded,942.792,,
2006,5330,Eastern Asia,21,Crude oil discharged,495.964,,
2006,5330,Eastern Asia,22,Other tanker trade discharged,162.614,,
