"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2022","1,321.00","1,321.00","1,321.00","1,321.00","","3.28%"
"31/03/2022","1,279.00","1,279.00","1,279.00","1,279.00","","4.58%"
"30/03/2022","1,223.00","1,223.00","1,223.00","1,223.00","","5.16%"
"29/03/2022","1,163.00","1,163.00","1,163.00","1,163.00","","1.93%"
"28/03/2022","1,141.00","1,141.00","1,141.00","1,141.00","","2.61%"
"25/03/2022","1,112.00","1,112.00","1,112.00","1,112.00","","1.74%"
"24/03/2022","1,093.00","1,093.00","1,093.00","1,093.00","","0.00%"
"23/03/2022","1,093.00","1,093.00","1,093.00","1,093.00","","0.09%"
"22/03/2022","1,092.00","1,092.00","1,092.00","1,092.00","","-1.18%"
"21/03/2022","1,105.00","1,105.00","1,105.00","1,105.00","","-1.95%"
"18/03/2022","1,127.00","1,127.00","1,127.00","1,127.00","","-8.00%"
"17/03/2022","1,225.00","1,225.00","1,225.00","1,225.00","","-3.39%"
"16/03/2022","1,268.00","1,268.00","1,268.00","1,268.00","","-0.86%"
"15/03/2022","1,279.00","1,279.00","1,279.00","1,279.00","","-1.39%"
"14/03/2022","1,297.00","1,297.00","1,297.00","1,297.00","","-1.14%"
"11/03/2022","1,312.00","1,312.00","1,312.00","1,312.00","","-1.58%"
"10/03/2022","1,333.00","1,333.00","1,333.00","1,333.00","","-1.19%"
"09/03/2022","1,349.00","1,349.00","1,349.00","1,349.00","","-5.27%"
"08/03/2022","1,424.00","1,424.00","1,424.00","1,424.00","","-6.13%"
"07/03/2022","1,517.00","1,517.00","1,517.00","1,517.00","","2.92%"
"04/03/2022","1,474.00","1,474.00","1,474.00","1,474.00","","-1.54%"
"03/03/2022","1,497.00","1,497.00","1,497.00","1,497.00","","2.11%"
"02/03/2022","1,466.00","1,466.00","1,466.00","1,466.00","","1.17%"
"01/03/2022","1,449.00","1,449.00","1,449.00","1,449.00","","7.89%"
"28/02/2022","1,343.00","1,343.00","1,343.00","1,343.00","","17.09%"
"25/02/2022","1,147.00","1,147.00","1,147.00","1,147.00","","26.88%"
"24/02/2022","904.00","904.00","904.00","904.00","","24.69%"
"23/02/2022","725.00","725.00","725.00","725.00","","1.40%"
"22/02/2022","715.00","715.00","715.00","715.00","","1.27%"
"21/02/2022","706.00","706.00","706.00","706.00","","1.00%"
"18/02/2022","699.00","699.00","699.00","699.00","","0.72%"
"17/02/2022","694.00","694.00","694.00","694.00","","0.29%"
"16/02/2022","692.00","692.00","692.00","692.00","","0.14%"
"15/02/2022","691.00","691.00","691.00","691.00","","0.14%"
"14/02/2022","690.00","690.00","690.00","690.00","","0.44%"
"11/02/2022","687.00","687.00","687.00","687.00","","0.88%"
"10/02/2022","681.00","681.00","681.00","681.00","","-0.15%"
"09/02/2022","682.00","682.00","682.00","682.00","","0.15%"
"08/02/2022","681.00","681.00","681.00","681.00","","-0.15%"
"07/02/2022","682.00","682.00","682.00","682.00","","0.44%"
"04/02/2022","679.00","679.00","679.00","679.00","","0.00%"
"03/02/2022","679.00","679.00","679.00","679.00","","-0.44%"
"02/02/2022","682.00","682.00","682.00","682.00","","-0.44%"
"01/02/2022","685.00","685.00","685.00","685.00","","-0.58%"
"31/01/2022","689.00","689.00","689.00","689.00","","0.29%"
"28/01/2022","687.00","687.00","687.00","687.00","","0.29%"
"27/01/2022","685.00","685.00","685.00","685.00","","0.44%"
"26/01/2022","682.00","682.00","682.00","682.00","","-1.30%"
"25/01/2022","691.00","691.00","691.00","691.00","","-0.14%"
"24/01/2022","692.00","692.00","692.00","692.00","","0.00%"
"21/01/2022","692.00","692.00","692.00","692.00","","0.14%"
"20/01/2022","691.00","691.00","691.00","691.00","","-0.14%"
"19/01/2022","692.00","692.00","692.00","692.00","","-0.29%"
"18/01/2022","694.00","694.00","694.00","694.00","","-0.43%"
"17/01/2022","697.00","697.00","697.00","697.00","","-0.14%"
"14/01/2022","698.00","698.00","698.00","698.00","","0.00%"
"13/01/2022","698.00","698.00","698.00","698.00","","0.58%"
"12/01/2022","694.00","694.00","694.00","694.00","","-0.57%"
"11/01/2022","698.00","698.00","698.00","698.00","","-0.85%"
"10/01/2022","704.00","704.00","704.00","704.00","","-0.14%"
"07/01/2022","705.00","705.00","705.00","705.00","","-0.84%"
"06/01/2022","711.00","711.00","711.00","711.00","","0.00%"
"05/01/2022","711.00","711.00","711.00","711.00","","-1.52%"
"04/01/2022","722.00","722.00","722.00","722.00","","-8.14%"
"24/12/2021","786.00","786.00","786.00","786.00","","-0.25%"
"23/12/2021","788.00","788.00","788.00","788.00","","0.00%"
"22/12/2021","788.00","788.00","788.00","788.00","","-1.62%"
"21/12/2021","801.00","801.00","801.00","801.00","","-0.37%"
"20/12/2021","804.00","804.00","804.00","804.00","","0.12%"
"17/12/2021","803.00","803.00","803.00","803.00","","0.25%"
"16/12/2021","801.00","801.00","801.00","801.00","","-0.25%"
"15/12/2021","803.00","803.00","803.00","803.00","","1.01%"
"14/12/2021","795.00","795.00","795.00","795.00","","0.89%"
"13/12/2021","788.00","788.00","788.00","788.00","","0.38%"
"10/12/2021","785.00","785.00","785.00","785.00","","1.03%"
"09/12/2021","777.00","777.00","777.00","777.00","","0.78%"
"08/12/2021","771.00","771.00","771.00","771.00","","0.92%"
"07/12/2021","764.00","764.00","764.00","764.00","","1.33%"
"06/12/2021","754.00","754.00","754.00","754.00","","2.31%"
"03/12/2021","737.00","737.00","737.00","737.00","","1.38%"
"02/12/2021","727.00","727.00","727.00","727.00","","0.97%"
"01/12/2021","720.00","720.00","720.00","720.00","","-0.14%"
"30/11/2021","721.00","721.00","721.00","721.00","","-1.37%"
"29/11/2021","731.00","731.00","731.00","731.00","","-0.95%"
"26/11/2021","738.00","738.00","738.00","738.00","","-0.94%"
"25/11/2021","745.00","745.00","745.00","745.00","","0.13%"
"24/11/2021","744.00","744.00","744.00","744.00","","-1.20%"
"23/11/2021","753.00","753.00","753.00","753.00","","-1.31%"
"22/11/2021","763.00","763.00","763.00","763.00","","-2.18%"
"19/11/2021","780.00","780.00","780.00","780.00","","-1.02%"
"18/11/2021","788.00","788.00","788.00","788.00","","-0.88%"
"17/11/2021","795.00","795.00","795.00","795.00","","-0.87%"
"16/11/2021","802.00","802.00","802.00","802.00","","-1.23%"
"15/11/2021","812.00","812.00","812.00","812.00","","-1.10%"
"12/11/2021","821.00","821.00","821.00","821.00","","-1.68%"
"11/11/2021","835.00","835.00","835.00","835.00","","0.24%"
"10/11/2021","833.00","833.00","833.00","833.00","","-0.24%"
