"Date","Price","Open","High","Low","Vol.","Change %"
"16/12/2020","439.00","439.00","439.00","439.00","","0.92%"
"15/12/2020","435.00","435.00","435.00","435.00","","0.69%"
"14/12/2020","432.00","432.00","432.00","432.00","","0.23%"
"11/12/2020","431.00","431.00","431.00","431.00","","0.23%"
"10/12/2020","430.00","430.00","430.00","430.00","","-1.15%"
"09/12/2020","435.00","435.00","435.00","435.00","","-0.91%"
"08/12/2020","439.00","439.00","439.00","439.00","","-0.23%"
"07/12/2020","440.00","440.00","440.00","440.00","","0.00%"
"04/12/2020","440.00","440.00","440.00","440.00","","-1.12%"
"03/12/2020","445.00","445.00","445.00","445.00","","0.23%"
"02/12/2020","444.00","444.00","444.00","444.00","","-2.42%"
"01/12/2020","455.00","455.00","455.00","455.00","","-0.66%"
"30/11/2020","458.00","458.00","458.00","458.00","","0.66%"
"27/11/2020","455.00","455.00","455.00","455.00","","-0.44%"
"26/11/2020","457.00","457.00","457.00","457.00","","1.33%"
"25/11/2020","451.00","451.00","451.00","451.00","","0.89%"
"24/11/2020","447.00","447.00","447.00","447.00","","2.29%"
"23/11/2020","437.00","437.00","437.00","437.00","","-0.23%"
"20/11/2020","438.00","438.00","438.00","438.00","","0.23%"
"19/11/2020","437.00","437.00","437.00","437.00","","1.39%"
"18/11/2020","431.00","431.00","431.00","431.00","","-0.23%"
"17/11/2020","432.00","432.00","432.00","432.00","","0.47%"
"16/11/2020","430.00","430.00","430.00","430.00","","1.18%"
"13/11/2020","425.00","425.00","425.00","425.00","","2.91%"
"12/11/2020","413.00","413.00","413.00","413.00","","1.47%"
"11/11/2020","407.00","407.00","407.00","407.00","","0.49%"
"10/11/2020","405.00","405.00","405.00","405.00","","0.50%"
"09/11/2020","403.00","403.00","403.00","403.00","","0.00%"
"06/11/2020","403.00","403.00","403.00","403.00","","-0.49%"
"05/11/2020","405.00","405.00","405.00","405.00","","0.00%"
"04/11/2020","405.00","405.00","405.00","405.00","","0.00%"
"03/11/2020","405.00","405.00","405.00","405.00","","-0.25%"
"02/11/2020","406.00","406.00","406.00","406.00","","-1.22%"
"30/10/2020","411.00","411.00","411.00","411.00","","-1.20%"
"29/10/2020","416.00","416.00","416.00","416.00","","-1.42%"
"28/10/2020","422.00","422.00","422.00","422.00","","-0.94%"
"27/10/2020","426.00","426.00","426.00","426.00","","0.24%"
"26/10/2020","425.00","425.00","425.00","425.00","","1.92%"
"23/10/2020","417.00","417.00","417.00","417.00","","-0.95%"
"22/10/2020","421.00","421.00","421.00","421.00","","-0.71%"
"21/10/2020","424.00","424.00","424.00","424.00","","0.24%"
"20/10/2020","423.00","423.00","423.00","423.00","","0.71%"
"19/10/2020","420.00","420.00","420.00","420.00","","0.72%"
"16/10/2020","417.00","417.00","417.00","417.00","","0.72%"
"15/10/2020","414.00","414.00","414.00","414.00","","0.49%"
"14/10/2020","412.00","412.00","412.00","412.00","","0.49%"
"13/10/2020","410.00","410.00","410.00","410.00","","0.00%"
"12/10/2020","410.00","410.00","410.00","410.00","","-0.49%"
"09/10/2020","412.00","412.00","412.00","412.00","","-1.20%"
"08/10/2020","417.00","417.00","417.00","417.00","","-0.48%"
"07/10/2020","419.00","419.00","419.00","419.00","","-1.18%"
"06/10/2020","424.00","424.00","424.00","424.00","","-0.93%"
"05/10/2020","428.00","428.00","428.00","428.00","","-0.23%"
"02/10/2020","429.00","429.00","429.00","429.00","","-0.69%"
"01/10/2020","432.00","432.00","432.00","432.00","","-0.69%"
"30/09/2020","435.00","435.00","435.00","435.00","","0.00%"
"29/09/2020","435.00","435.00","435.00","435.00","","-0.23%"
"28/09/2020","436.00","436.00","436.00","436.00","","0.46%"
"25/09/2020","434.00","434.00","434.00","434.00","","0.00%"
"24/09/2020","434.00","434.00","434.00","434.00","","0.70%"
"23/09/2020","431.00","431.00","431.00","431.00","","-0.46%"
"22/09/2020","433.00","433.00","433.00","433.00","","-1.37%"
"21/09/2020","439.00","439.00","439.00","439.00","","-0.45%"
"18/09/2020","441.00","441.00","441.00","441.00","","-0.45%"
"17/09/2020","443.00","443.00","443.00","443.00","","-1.12%"
"16/09/2020","448.00","448.00","448.00","448.00","","-1.10%"
"15/09/2020","453.00","453.00","453.00","453.00","","-0.66%"
"14/09/2020","456.00","456.00","456.00","456.00","","-0.65%"
"11/09/2020","459.00","459.00","459.00","459.00","","2.00%"
"10/09/2020","450.00","450.00","450.00","450.00","","0.67%"
"09/09/2020","447.00","447.00","447.00","447.00","","0.22%"
"08/09/2020","446.00","446.00","446.00","446.00","","0.45%"
"07/09/2020","444.00","444.00","444.00","444.00","","-0.45%"
"04/09/2020","446.00","446.00","446.00","446.00","","-1.33%"
"03/09/2020","452.00","452.00","452.00","452.00","","-1.09%"
"02/09/2020","457.00","457.00","457.00","457.00","","-1.93%"
"01/09/2020","466.00","466.00","466.00","466.00","","-1.69%"
"28/08/2020","474.00","474.00","474.00","474.00","","0.42%"
"27/08/2020","472.00","472.00","472.00","472.00","","-0.21%"
"26/08/2020","473.00","473.00","473.00","473.00","","-0.84%"
"25/08/2020","477.00","477.00","477.00","477.00","","-0.63%"
"24/08/2020","480.00","480.00","480.00","480.00","","-0.62%"
"21/08/2020","483.00","483.00","483.00","483.00","","-1.02%"
"20/08/2020","488.00","488.00","488.00","488.00","","-0.61%"
"19/08/2020","491.00","491.00","491.00","491.00","","0.20%"
"18/08/2020","490.00","490.00","490.00","490.00","","-0.61%"
"17/08/2020","493.00","493.00","493.00","493.00","","-1.00%"
"14/08/2020","498.00","498.00","498.00","498.00","","-0.20%"
"13/08/2020","499.00","499.00","499.00","499.00","","-0.20%"
"12/08/2020","500.00","500.00","500.00","500.00","","0.60%"
"11/08/2020","497.00","497.00","497.00","497.00","","-1.19%"
"10/08/2020","503.00","503.00","503.00","503.00","","-0.79%"
"07/08/2020","507.00","507.00","507.00","507.00","","0.00%"
"06/08/2020","507.00","507.00","507.00","507.00","","-0.39%"
"05/08/2020","509.00","509.00","509.00","509.00","","0.59%"
"04/08/2020","506.00","506.00","506.00","506.00","","0.00%"
"03/08/2020","506.00","506.00","506.00","506.00","","0.00%"
"31/07/2020","506.00","506.00","506.00","506.00","","0.20%"
"30/07/2020","505.00","505.00","505.00","505.00","","-0.20%"
"29/07/2020","506.00","506.00","506.00","506.00","","-1.36%"
"28/07/2020","513.00","513.00","513.00","513.00","","-0.58%"
"27/07/2020","516.00","516.00","516.00","516.00","","-0.77%"
"24/07/2020","520.00","520.00","520.00","520.00","","-1.89%"
"23/07/2020","530.00","530.00","530.00","530.00","","-1.67%"
"22/07/2020","539.00","539.00","539.00","539.00","","-0.37%"
"21/07/2020","541.00","541.00","541.00","541.00","","1.31%"
"20/07/2020","534.00","534.00","534.00","534.00","","2.69%"
"17/07/2020","520.00","520.00","520.00","520.00","","2.16%"
"16/07/2020","509.00","509.00","509.00","509.00","","3.67%"
"15/07/2020","491.00","491.00","491.00","491.00","","-0.20%"
"14/07/2020","492.00","492.00","492.00","492.00","","-1.40%"
"13/07/2020","499.00","499.00","499.00","499.00","","-0.20%"
"10/07/2020","500.00","500.00","500.00","500.00","","0.40%"
"09/07/2020","498.00","498.00","498.00","498.00","","1.22%"
"08/07/2020","492.00","492.00","492.00","492.00","","1.03%"
"07/07/2020","487.00","487.00","487.00","487.00","","0.83%"
"06/07/2020","483.00","483.00","483.00","483.00","","2.55%"
"03/07/2020","471.00","471.00","471.00","471.00","","1.51%"
"02/07/2020","464.00","464.00","464.00","464.00","","0.00%"
"01/07/2020","464.00","464.00","464.00","464.00","","0.43%"
"30/06/2020","462.00","462.00","462.00","462.00","","-0.65%"
"29/06/2020","465.00","465.00","465.00","465.00","","-0.43%"
"26/06/2020","467.00","467.00","467.00","467.00","","0.21%"
"25/06/2020","466.00","466.00","466.00","466.00","","1.53%"
"24/06/2020","459.00","459.00","459.00","459.00","","-2.96%"
"23/06/2020","473.00","473.00","473.00","473.00","","-4.64%"
"22/06/2020","496.00","496.00","496.00","496.00","","-2.55%"
"19/06/2020","509.00","509.00","509.00","509.00","","-0.78%"
"18/06/2020","513.00","513.00","513.00","513.00","","-2.10%"
"17/06/2020","524.00","524.00","524.00","524.00","","-1.13%"
"16/06/2020","530.00","530.00","530.00","530.00","","-2.75%"
"15/06/2020","545.00","545.00","545.00","545.00","","-1.09%"
"12/06/2020","551.00","551.00","551.00","551.00","","-1.43%"
"11/06/2020","559.00","559.00","559.00","559.00","","-2.27%"
"10/06/2020","572.00","572.00","572.00","572.00","","-0.87%"
"09/06/2020","577.00","577.00","577.00","577.00","","-1.20%"
"08/06/2020","584.00","584.00","584.00","584.00","","-1.35%"
"05/06/2020","592.00","592.00","592.00","592.00","","-2.15%"
"04/06/2020","605.00","605.00","605.00","605.00","","-3.66%"
"03/06/2020","628.00","628.00","628.00","628.00","","-3.83%"
"02/06/2020","653.00","653.00","653.00","653.00","","-6.45%"
"01/06/2020","698.00","698.00","698.00","698.00","","-2.10%"
"29/05/2020","713.00","713.00","713.00","713.00","","-0.97%"
"28/05/2020","720.00","720.00","720.00","720.00","","-1.77%"
"27/05/2020","733.00","733.00","733.00","733.00","","2.09%"
"26/05/2020","718.00","718.00","718.00","718.00","","-2.31%"
"22/05/2020","735.00","735.00","735.00","735.00","","-2.78%"
"21/05/2020","756.00","756.00","756.00","756.00","","-4.55%"
"20/05/2020","792.00","792.00","792.00","792.00","","-3.18%"
"19/05/2020","818.00","818.00","818.00","818.00","","-3.42%"
"18/05/2020","847.00","847.00","847.00","847.00","","-0.59%"
"15/05/2020","852.00","852.00","852.00","852.00","","-1.27%"
"14/05/2020","863.00","863.00","863.00","863.00","","-1.03%"
"13/05/2020","872.00","872.00","872.00","872.00","","0.23%"
"12/05/2020","870.00","870.00","870.00","870.00","","0.23%"
"11/05/2020","868.00","868.00","868.00","868.00","","0.58%"
"07/05/2020","863.00","863.00","863.00","863.00","","-2.04%"
"06/05/2020","881.00","881.00","881.00","881.00","","-2.65%"
"05/05/2020","905.00","905.00","905.00","905.00","","-10.84%"
"04/05/2020","1,015.00","1,015.00","1,015.00","1,015.00","","-8.14%"
"01/05/2020","1,105.00","1,105.00","1,105.00","1,105.00","","-10.60%"
"30/04/2020","1,236.00","1,236.00","1,236.00","1,236.00","","-10.89%"
"29/04/2020","1,387.00","1,387.00","1,387.00","1,387.00","","-7.72%"
"28/04/2020","1,503.00","1,503.00","1,503.00","1,503.00","","-2.15%"
"27/04/2020","1,536.00","1,536.00","1,536.00","1,536.00","","-0.90%"
"24/04/2020","1,550.00","1,550.00","1,550.00","1,550.00","","0.85%"
"23/04/2020","1,537.00","1,537.00","1,537.00","1,537.00","","0.79%"
"22/04/2020","1,525.00","1,525.00","1,525.00","1,525.00","","10.75%"
"21/04/2020","1,377.00","1,377.00","1,377.00","1,377.00","","16.50%"
"20/04/2020","1,182.00","1,182.00","1,182.00","1,182.00","","2.43%"
"17/04/2020","1,154.00","1,154.00","1,154.00","1,154.00","","4.72%"
"16/04/2020","1,102.00","1,102.00","1,102.00","1,102.00","","1.66%"
"15/04/2020","1,084.00","1,084.00","1,084.00","1,084.00","","-2.17%"
"14/04/2020","1,108.00","1,108.00","1,108.00","1,108.00","","-0.54%"
"09/04/2020","1,114.00","1,114.00","1,114.00","1,114.00","","4.01%"
"08/04/2020","1,071.00","1,071.00","1,071.00","1,071.00","","-4.55%"
"07/04/2020","1,122.00","1,122.00","1,122.00","1,122.00","","-9.52%"
"06/04/2020","1,240.00","1,240.00","1,240.00","1,240.00","","-10.34%"
"03/04/2020","1,383.00","1,383.00","1,383.00","1,383.00","","-1.36%"
"02/04/2020","1,402.00","1,402.00","1,402.00","1,402.00","","-0.28%"
"01/04/2020","1,406.00","1,406.00","1,406.00","1,406.00","","0.86%"
"31/03/2020","1,394.00","1,394.00","1,394.00","1,394.00","","3.41%"
"30/03/2020","1,348.00","1,348.00","1,348.00","1,348.00","","9.59%"
"27/03/2020","1,230.00","1,230.00","1,230.00","1,230.00","","10.71%"
"26/03/2020","1,111.00","1,111.00","1,111.00","1,111.00","","4.03%"
"25/03/2020","1,068.00","1,068.00","1,068.00","1,068.00","","2.59%"
"24/03/2020","1,041.00","1,041.00","1,041.00","1,041.00","","-5.28%"
"23/03/2020","1,099.00","1,099.00","1,099.00","1,099.00","","-5.75%"
"20/03/2020","1,166.00","1,166.00","1,166.00","1,166.00","","-6.12%"
"19/03/2020","1,242.00","1,242.00","1,242.00","1,242.00","","-9.93%"
"18/03/2020","1,379.00","1,379.00","1,379.00","1,379.00","","-9.04%"
"17/03/2020","1,516.00","1,516.00","1,516.00","1,516.00","","-0.13%"
"16/03/2020","1,518.00","1,518.00","1,518.00","1,518.00","","5.86%"
"13/03/2020","1,434.00","1,434.00","1,434.00","1,434.00","","22.25%"
"12/03/2020","1,173.00","1,173.00","1,173.00","1,173.00","","10.97%"
"11/03/2020","1,057.00","1,057.00","1,057.00","1,057.00","","24.65%"
"10/03/2020","848.00","848.00","848.00","848.00","","9.00%"
"09/03/2020","778.00","778.00","778.00","778.00","","1.83%"
"06/03/2020","764.00","764.00","764.00","764.00","","-3.54%"
"05/03/2020","792.00","792.00","792.00","792.00","","-0.50%"
"04/03/2020","796.00","796.00","796.00","796.00","","0.00%"
"03/03/2020","796.00","796.00","796.00","796.00","","0.00%"
"02/03/2020","796.00","796.00","796.00","796.00","","0.00%"
"28/02/2020","796.00","796.00","796.00","796.00","","-1.24%"
"27/02/2020","806.00","806.00","806.00","806.00","","-1.35%"
"26/02/2020","817.00","817.00","817.00","817.00","","-3.88%"
"25/02/2020","850.00","850.00","850.00","850.00","","-1.39%"
"24/02/2020","862.00","862.00","862.00","862.00","","-0.35%"
"21/02/2020","865.00","865.00","865.00","865.00","","-0.57%"
"20/02/2020","870.00","870.00","870.00","870.00","","-0.23%"
"19/02/2020","872.00","872.00","872.00","872.00","","0.11%"
"18/02/2020","871.00","871.00","871.00","871.00","","0.00%"
"17/02/2020","871.00","871.00","871.00","871.00","","0.69%"
"14/02/2020","865.00","865.00","865.00","865.00","","1.17%"
"13/02/2020","855.00","855.00","855.00","855.00","","0.94%"
"12/02/2020","847.00","847.00","847.00","847.00","","0.83%"
"11/02/2020","840.00","840.00","840.00","840.00","","2.94%"
"10/02/2020","816.00","816.00","816.00","816.00","","1.62%"
"07/02/2020","803.00","803.00","803.00","803.00","","0.88%"
"06/02/2020","796.00","796.00","796.00","796.00","","-0.25%"
"05/02/2020","798.00","798.00","798.00","798.00","","-0.62%"
"04/02/2020","803.00","803.00","803.00","803.00","","-5.53%"
"03/02/2020","850.00","850.00","850.00","850.00","","-3.63%"
"31/01/2020","882.00","882.00","882.00","882.00","","-5.57%"
"30/01/2020","934.00","934.00","934.00","934.00","","-10.71%"
"29/01/2020","1,046.00","1,046.00","1,046.00","1,046.00","","-4.30%"
"28/01/2020","1,093.00","1,093.00","1,093.00","1,093.00","","-5.12%"
"27/01/2020","1,152.00","1,152.00","1,152.00","1,152.00","","-3.19%"
"24/01/2020","1,190.00","1,190.00","1,190.00","1,190.00","","-1.49%"
"23/01/2020","1,208.00","1,208.00","1,208.00","1,208.00","","-2.34%"
"22/01/2020","1,237.00","1,237.00","1,237.00","1,237.00","","0.81%"
"21/01/2020","1,227.00","1,227.00","1,227.00","1,227.00","","0.08%"
"20/01/2020","1,226.00","1,226.00","1,226.00","1,226.00","","-1.21%"
"17/01/2020","1,241.00","1,241.00","1,241.00","1,241.00","","-4.90%"
"16/01/2020","1,305.00","1,305.00","1,305.00","1,305.00","","-2.61%"
"15/01/2020","1,340.00","1,340.00","1,340.00","1,340.00","","-4.01%"
"14/01/2020","1,396.00","1,396.00","1,396.00","1,396.00","","-3.59%"
"13/01/2020","1,448.00","1,448.00","1,448.00","1,448.00","","-1.70%"
"10/01/2020","1,473.00","1,473.00","1,473.00","1,473.00","","-2.32%"
"09/01/2020","1,508.00","1,508.00","1,508.00","1,508.00","","-0.79%"
"08/01/2020","1,520.00","1,520.00","1,520.00","1,520.00","","0.73%"
"07/01/2020","1,509.00","1,509.00","1,509.00","1,509.00","","0.60%"
"06/01/2020","1,500.00","1,500.00","1,500.00","1,500.00","","-1.12%"
"03/01/2020","1,517.00","1,517.00","1,517.00","1,517.00","","0.93%"
"02/01/2020","1,503.00","1,503.00","1,503.00","1,503.00","","-5.89%"
"24/12/2019","1,597.00","1,597.00","1,597.00","1,597.00","","1.08%"
"23/12/2019","1,580.00","1,580.00","1,580.00","1,580.00","","-0.57%"
"20/12/2019","1,589.00","1,589.00","1,589.00","1,589.00","","1.86%"
"19/12/2019","1,560.00","1,560.00","1,560.00","1,560.00","","0.97%"
"18/12/2019","1,545.00","1,545.00","1,545.00","1,545.00","","2.39%"
"17/12/2019","1,509.00","1,509.00","1,509.00","1,509.00","","3.71%"
"16/12/2019","1,455.00","1,455.00","1,455.00","1,455.00","","1.04%"
"13/12/2019","1,440.00","1,440.00","1,440.00","1,440.00","","1.48%"
"12/12/2019","1,419.00","1,419.00","1,419.00","1,419.00","","0.35%"
"11/12/2019","1,414.00","1,414.00","1,414.00","1,414.00","","2.84%"
"10/12/2019","1,375.00","1,375.00","1,375.00","1,375.00","","2.77%"
"09/12/2019","1,338.00","1,338.00","1,338.00","1,338.00","","1.75%"
"06/12/2019","1,315.00","1,315.00","1,315.00","1,315.00","","2.26%"
"05/12/2019","1,286.00","1,286.00","1,286.00","1,286.00","","2.14%"
"04/12/2019","1,259.00","1,259.00","1,259.00","1,259.00","","1.78%"
"03/12/2019","1,237.00","1,237.00","1,237.00","1,237.00","","-1.20%"
"02/12/2019","1,252.00","1,252.00","1,252.00","1,252.00","","-1.18%"
"29/11/2019","1,267.00","1,267.00","1,267.00","1,267.00","","-1.25%"
"28/11/2019","1,283.00","1,283.00","1,283.00","1,283.00","","-1.38%"
"27/11/2019","1,301.00","1,301.00","1,301.00","1,301.00","","0.31%"
"26/11/2019","1,297.00","1,297.00","1,297.00","1,297.00","","1.65%"
"25/11/2019","1,276.00","1,276.00","1,276.00","1,276.00","","-1.54%"
"22/11/2019","1,296.00","1,296.00","1,296.00","1,296.00","","1.57%"
"21/11/2019","1,276.00","1,276.00","1,276.00","1,276.00","","3.32%"
"20/11/2019","1,235.00","1,235.00","1,235.00","1,235.00","","3.43%"
"19/11/2019","1,194.00","1,194.00","1,194.00","1,194.00","","4.46%"
"18/11/2019","1,143.00","1,143.00","1,143.00","1,143.00","","2.14%"
"15/11/2019","1,119.00","1,119.00","1,119.00","1,119.00","","3.42%"
"14/11/2019","1,082.00","1,082.00","1,082.00","1,082.00","","9.96%"
"13/11/2019","984.00","984.00","984.00","984.00","","4.57%"
"12/11/2019","941.00","941.00","941.00","941.00","","4.32%"
"11/11/2019","902.00","902.00","902.00","902.00","","0.33%"
"08/11/2019","899.00","899.00","899.00","899.00","","-1.64%"
"07/11/2019","914.00","914.00","914.00","914.00","","-2.56%"
"06/11/2019","938.00","938.00","938.00","938.00","","-3.00%"
"05/11/2019","967.00","967.00","967.00","967.00","","-4.35%"
"04/11/2019","1,011.00","1,011.00","1,011.00","1,011.00","","-1.75%"
"01/11/2019","1,029.00","1,029.00","1,029.00","1,029.00","","-1.06%"
"31/10/2019","1,040.00","1,040.00","1,040.00","1,040.00","","-1.42%"
"30/10/2019","1,055.00","1,055.00","1,055.00","1,055.00","","-4.18%"
"29/10/2019","1,101.00","1,101.00","1,101.00","1,101.00","","-3.76%"
"28/10/2019","1,144.00","1,144.00","1,144.00","1,144.00","","-3.46%"
"25/10/2019","1,185.00","1,185.00","1,185.00","1,185.00","","-3.42%"
"24/10/2019","1,227.00","1,227.00","1,227.00","1,227.00","","-4.29%"
"23/10/2019","1,282.00","1,282.00","1,282.00","1,282.00","","-2.29%"
"22/10/2019","1,312.00","1,312.00","1,312.00","1,312.00","","-4.65%"
"21/10/2019","1,376.00","1,376.00","1,376.00","1,376.00","","-3.91%"
"18/10/2019","1,432.00","1,432.00","1,432.00","1,432.00","","-6.53%"
"17/10/2019","1,532.00","1,532.00","1,532.00","1,532.00","","-6.64%"
"16/10/2019","1,641.00","1,641.00","1,641.00","1,641.00","","-8.68%"
"15/10/2019","1,797.00","1,797.00","1,797.00","1,797.00","","-8.22%"
"14/10/2019","1,958.00","1,958.00","1,958.00","1,958.00","","0.88%"
"11/10/2019","1,941.00","1,941.00","1,941.00","1,941.00","","24.34%"
"10/10/2019","1,561.00","1,561.00","1,561.00","1,561.00","","8.25%"
"09/10/2019","1,442.00","1,442.00","1,442.00","1,442.00","","6.42%"
"08/10/2019","1,355.00","1,355.00","1,355.00","1,355.00","","7.71%"
"07/10/2019","1,258.00","1,258.00","1,258.00","1,258.00","","5.63%"
"04/10/2019","1,191.00","1,191.00","1,191.00","1,191.00","","6.06%"
"03/10/2019","1,123.00","1,123.00","1,123.00","1,123.00","","8.71%"
"02/10/2019","1,033.00","1,033.00","1,033.00","1,033.00","","3.51%"
"01/10/2019","998.00","998.00","998.00","998.00","","3.85%"
"30/09/2019","961.00","961.00","961.00","961.00","","2.78%"
"27/09/2019","935.00","935.00","935.00","935.00","","6.74%"
"26/09/2019","876.00","876.00","876.00","876.00","","3.06%"
"25/09/2019","850.00","850.00","850.00","850.00","","0.12%"
"24/09/2019","849.00","849.00","849.00","849.00","","1.92%"
"23/09/2019","833.00","833.00","833.00","833.00","","0.60%"
"20/09/2019","828.00","828.00","828.00","828.00","","4.15%"
"19/09/2019","795.00","795.00","795.00","795.00","","2.32%"
"18/09/2019","777.00","777.00","777.00","777.00","","2.91%"
"17/09/2019","755.00","755.00","755.00","755.00","","3.57%"
"16/09/2019","729.00","729.00","729.00","729.00","","2.97%"
"13/09/2019","708.00","708.00","708.00","708.00","","0.28%"
"12/09/2019","706.00","706.00","706.00","706.00","","1.44%"
"11/09/2019","696.00","696.00","696.00","696.00","","1.46%"
"10/09/2019","686.00","686.00","686.00","686.00","","0.15%"
"09/09/2019","685.00","685.00","685.00","685.00","","0.29%"
"06/09/2019","683.00","683.00","683.00","683.00","","1.04%"
"05/09/2019","676.00","676.00","676.00","676.00","","1.35%"
"04/09/2019","667.00","667.00","667.00","667.00","","2.46%"
"03/09/2019","651.00","651.00","651.00","651.00","","-0.46%"
"02/09/2019","654.00","654.00","654.00","654.00","","-0.30%"
"30/08/2019","656.00","656.00","656.00","656.00","","-0.61%"
"29/08/2019","660.00","660.00","660.00","660.00","","-0.60%"
"28/08/2019","664.00","664.00","664.00","664.00","","0.15%"
"27/08/2019","663.00","663.00","663.00","663.00","","0.15%"
"23/08/2019","662.00","662.00","662.00","662.00","","0.91%"
"22/08/2019","656.00","656.00","656.00","656.00","","-0.46%"
"21/08/2019","659.00","659.00","659.00","659.00","","0.30%"
"20/08/2019","657.00","657.00","657.00","657.00","","1.23%"
"19/08/2019","649.00","649.00","649.00","649.00","","0.46%"
"16/08/2019","646.00","646.00","646.00","646.00","","2.38%"
"15/08/2019","631.00","631.00","631.00","631.00","","0.64%"
"14/08/2019","627.00","627.00","627.00","627.00","","0.00%"
"13/08/2019","627.00","627.00","627.00","627.00","","0.16%"
"12/08/2019","626.00","626.00","626.00","626.00","","-0.16%"
"09/08/2019","627.00","627.00","627.00","627.00","","-0.16%"
"08/08/2019","628.00","628.00","628.00","628.00","","0.32%"
"07/08/2019","626.00","626.00","626.00","626.00","","1.46%"
"06/08/2019","617.00","617.00","617.00","617.00","","0.00%"
"05/08/2019","617.00","617.00","617.00","617.00","","-0.64%"
"02/08/2019","621.00","621.00","621.00","621.00","","0.16%"
"01/08/2019","620.00","620.00","620.00","620.00","","-0.16%"
"31/07/2019","621.00","621.00","621.00","621.00","","-0.48%"
"30/07/2019","624.00","624.00","624.00","624.00","","-1.27%"
"29/07/2019","632.00","632.00","632.00","632.00","","-0.32%"
"26/07/2019","634.00","634.00","634.00","634.00","","0.00%"
"25/07/2019","634.00","634.00","634.00","634.00","","0.96%"
"24/07/2019","628.00","628.00","628.00","628.00","","0.32%"
"23/07/2019","626.00","626.00","626.00","626.00","","0.32%"
"22/07/2019","624.00","624.00","624.00","624.00","","0.32%"
"19/07/2019","622.00","622.00","622.00","622.00","","-0.48%"
"18/07/2019","625.00","625.00","625.00","625.00","","-0.32%"
"17/07/2019","627.00","627.00","627.00","627.00","","0.64%"
"16/07/2019","623.00","623.00","623.00","623.00","","-0.64%"
"15/07/2019","627.00","627.00","627.00","627.00","","-0.16%"
"12/07/2019","628.00","628.00","628.00","628.00","","-0.48%"
"11/07/2019","631.00","631.00","631.00","631.00","","-0.32%"
"10/07/2019","633.00","633.00","633.00","633.00","","-1.09%"
"09/07/2019","640.00","640.00","640.00","640.00","","-0.78%"
"08/07/2019","645.00","645.00","645.00","645.00","","-0.77%"
"05/07/2019","650.00","650.00","650.00","650.00","","-0.31%"
"04/07/2019","652.00","652.00","652.00","652.00","","-1.21%"
"03/07/2019","660.00","660.00","660.00","660.00","","-1.93%"
"02/07/2019","673.00","673.00","673.00","673.00","","-0.88%"
"01/07/2019","679.00","679.00","679.00","679.00","","-0.15%"
"28/06/2019","680.00","680.00","680.00","680.00","","0.44%"
"27/06/2019","677.00","677.00","677.00","677.00","","-0.15%"
"26/06/2019","678.00","678.00","678.00","678.00","","-0.15%"
"25/06/2019","679.00","679.00","679.00","679.00","","0.15%"
"24/06/2019","678.00","678.00","678.00","678.00","","-0.15%"
"21/06/2019","679.00","679.00","679.00","679.00","","-0.29%"
"20/06/2019","681.00","681.00","681.00","681.00","","0.74%"
"19/06/2019","676.00","676.00","676.00","676.00","","-0.15%"
"18/06/2019","677.00","677.00","677.00","677.00","","1.35%"
"17/06/2019","668.00","668.00","668.00","668.00","","0.91%"
"14/06/2019","662.00","662.00","662.00","662.00","","0.76%"
"13/06/2019","657.00","657.00","657.00","657.00","","0.61%"
"12/06/2019","653.00","653.00","653.00","653.00","","-0.15%"
"11/06/2019","654.00","654.00","654.00","654.00","","1.40%"
"10/06/2019","645.00","645.00","645.00","645.00","","0.31%"
"07/06/2019","643.00","643.00","643.00","643.00","","1.26%"
"06/06/2019","635.00","635.00","635.00","635.00","","0.47%"
"05/06/2019","632.00","632.00","632.00","632.00","","-0.16%"
"04/06/2019","633.00","633.00","633.00","633.00","","-0.16%"
"03/06/2019","634.00","634.00","634.00","634.00","","-0.31%"
"31/05/2019","636.00","636.00","636.00","636.00","","-1.09%"
"30/05/2019","643.00","643.00","643.00","643.00","","-1.23%"
"29/05/2019","651.00","651.00","651.00","651.00","","-1.06%"
"28/05/2019","658.00","658.00","658.00","658.00","","-1.05%"
"24/05/2019","665.00","665.00","665.00","665.00","","-0.15%"
"23/05/2019","666.00","666.00","666.00","666.00","","-0.89%"
"22/05/2019","672.00","672.00","672.00","672.00","","-0.15%"
"21/05/2019","673.00","673.00","673.00","673.00","","-0.15%"
"20/05/2019","674.00","674.00","674.00","674.00","","-0.59%"
"17/05/2019","678.00","678.00","678.00","678.00","","-0.73%"
"16/05/2019","683.00","683.00","683.00","683.00","","-2.01%"
"15/05/2019","697.00","697.00","697.00","697.00","","-0.99%"
"14/05/2019","704.00","704.00","704.00","704.00","","0.14%"
"13/05/2019","703.00","703.00","703.00","703.00","","0.86%"
"10/05/2019","697.00","697.00","697.00","697.00","","2.50%"
"09/05/2019","680.00","680.00","680.00","680.00","","1.19%"
"08/05/2019","672.00","672.00","672.00","672.00","","1.51%"
"07/05/2019","662.00","662.00","662.00","662.00","","2.64%"
"03/05/2019","645.00","645.00","645.00","645.00","","1.10%"
"02/05/2019","638.00","638.00","638.00","638.00","","0.47%"
"01/05/2019","635.00","635.00","635.00","635.00","","0.16%"
"30/04/2019","634.00","634.00","634.00","634.00","","-0.63%"
"29/04/2019","638.00","638.00","638.00","638.00","","-0.31%"
"26/04/2019","640.00","640.00","640.00","640.00","","0.79%"
